epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2292,2.1461,1.89131,1.31214,0.56549,0.26168,0.27451,0.12408,1.98775,1.34975,1.19016,0.000664603,0.000664603,0.000664603
2,63.157,2.02396,1.44191,1.20666,0.56365,0.28772,0.30262,0.13053,1.98212,1.27319,1.15604,0.00127136,0.00127136,0.00127136
3,91.7649,1.99141,1.37992,1.19811,0.66439,0.29033,0.32372,0.14997,1.93219,1.19328,1.17214,0.00181812,0.00181812,0.00181812
4,120.175,1.96558,1.31232,1.17705,0.64009,0.29742,0.34242,0.15988,1.90535,1.15007,1.1487,0.00173,0.00173,0.00173
5,148.926,1.90659,1.27825,1.16948,0.65604,0.31597,0.36825,0.17669,1.80548,1.10185,1.10764,0.00164,0.00164,0.00164
6,177.599,1.89055,1.24688,1.17038,0.64798,0.34317,0.38256,0.18199,1.76446,1.07061,1.10081,0.00155,0.00155,0.00155
7,205.894,1.85008,1.15511,1.12527,0.67208,0.35604,0.40005,0.18654,1.76029,1.0419,1.10016,0.00146,0.00146,0.00146
8,235.054,1.81304,1.12997,1.12644,0.6762,0.35582,0.40154,0.18842,1.74042,0.97416,1.07402,0.00137,0.00137,0.00137
9,263.454,1.80974,1.12127,1.1273,0.65225,0.35256,0.39484,0.1856,1.77556,1.00531,1.08071,0.00128,0.00128,0.00128
10,291.534,1.75697,1.08408,1.11053,0.70373,0.36538,0.41642,0.20278,1.7,0.92769,1.06149,0.00119,0.00119,0.00119
11,346.058,1.71514,1.04314,1.12028,0.69813,0.36057,0.41062,0.19785,1.71584,0.93471,1.07794,0.0011,0.0011,0.0011
12,373.795,1.72061,1.04084,1.12719,0.68817,0.36932,0.41285,0.20203,1.68775,0.91693,1.06852,0.00101,0.00101,0.00101
13,402.089,1.69397,0.99492,1.11311,0.71987,0.35437,0.41041,0.20497,1.66535,0.91288,1.06231,0.00092,0.00092,0.00092
14,430.127,1.67143,0.98759,1.08965,0.69855,0.36447,0.42588,0.21524,1.6355,0.90237,1.04425,0.00083,0.00083,0.00083
15,458.197,1.663,0.95518,1.09189,0.72047,0.38262,0.43992,0.21805,1.63616,0.87008,1.04233,0.00074,0.00074,0.00074
16,486.154,1.64452,0.94036,1.07958,0.69641,0.39009,0.44512,0.21951,1.6319,0.86668,1.03955,0.00065,0.00065,0.00065
17,514.065,1.62438,0.92878,1.0798,0.74056,0.38912,0.45084,0.221,1.61888,0.84498,1.03491,0.00056,0.00056,0.00056
18,542.752,1.59981,0.89635,1.07005,0.72154,0.3961,0.45246,0.22698,1.59796,0.83102,1.02821,0.00047,0.00047,0.00047
19,569.957,1.59914,0.88852,1.06331,0.7275,0.38984,0.4512,0.2255,1.59292,0.82255,1.02379,0.00038,0.00038,0.00038
20,596.724,1.58298,0.87077,1.06283,0.71702,0.39979,0.45791,0.22797,1.59628,0.81352,1.02646,0.00029,0.00029,0.00029
